,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodKill,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
253,3.0,8.0,22,0.0,1,16,57692,13.4,8.0,13,18633.0,87806,18633,55485,0.0,9,6,1,3,16.0,1.0,True,True,2.0,48036,41105,0.0,1,2.0,0.0,73,6,27,2112,23,6,610.0,135269,25803,15890,0.0,169,0,0.0,0.0,0,29.0,0,386371,40193,59741,1.0,0,0,196.2,102,1404.0,0.0,584890,68855,0,79892,0.0,15091,1196,454,627,263,11,0,63246,2853,4255,8,13.0,10.0,0,0.0,98,6,8,40,True
254,5.0,24.0,46,0.0,1,19,60539,13.8,27.0,27,21649.0,95307,21649,68304,0.0,12,9,3,4,25.0,1.0,False,True,3.0,54855,44150,0.0,2,7.0,0.0,94,7,33,559,24,8,680.0,188261,40172,22148,0.0,167,1,0.0,4.0,0,24.0,0,322027,32473,54745,2.0,0,0,215.0,140,1619.0,83.0,575456,79193,1401,79468,27.0,30904,1049,459,979,283,10,0,65162,6542,2570,10,29.0,5.0,0,0.0,110,10,6,48,True
255,1.0,14.0,11,0.0,0,0,43736,11.6,15.0,15,5308.0,15181,5308,52062,0.0,33,2,0,0,44.0,3.0,True,False,16.0,36868,34475,2.0,0,0.0,10.0,79,0,12,766,0,5,520.8,109293,19675,41921,0.0,86,0,5.0,0.0,0,27.0,0,209378,22884,47977,2.0,0,0,177.4,52,1619.0,73.0,347704,45133,757,96444,0.0,16772,698,391,311,826,8,0,29031,2572,6540,1,2.0,50.0,0,0.0,86,3,13,37,False
256,12.0,71.0,41,1.0,2,0,98842,17.2,58.0,21,11764.0,78390,11764,130895,0.0,46,6,5,1,103.0,10.0,False,True,56.0,74943,73250,3.0,0,0.0,10.0,124,8,44,1886,21,8,831.4,325478,50789,71232,0.0,175,0,5.0,0.0,0,93.0,0,477307,72553,86584,2.0,0,0,140.4,132,2617.0,123.0,880028,136349,1915,178637,15.0,37441,0,591,1296,1645,5,0,77239,13003,20816,5,6.0,50.0,0,1.0,169,6,9,89,False
257,33.0,33.0,41,0.0,1,10,107503,17.8,48.0,13,13516.0,128531,13516,185878,0.0,44,2,2,5,36.0,0.0,True,False,3.0,82822,74150,6.0,2,7.0,0.0,108,8,46,1896,23,7,722.8,406814,68377,55545,2.0,258,1,0.0,2.0,0,54.0,0,638477,65334,125838,0.0,0,0,105.6,85,2617.0,146.0,1154064,153844,0,194390,43.0,57000,0,720,572,1788,5,1,108769,20130,13003,10,18.0,30.0,0,0.0,167,2,14,67,True
258,3.0,45.0,49,1.0,1,6,80091,16.2,16.0,14,22905.0,98570,22905,102585,0.0,12,5,4,4,25.0,3.0,True,True,19.0,62517,59725,14.0,3,6.0,0.0,105,8,36,1285,25,7,930.8,318872,60586,44444,5.0,167,1,0.0,3.0,0,79.0,0,323611,33148,69206,6.0,0,0,181.4,171,2011.0,80.0,770833,99456,2846,122086,25.0,42897,456,616,1972,394,7,1,128344,5715,8433,10,16.0,15.0,0,1.0,149,5,6,66,True
259,2.0,12.0,10,2.0,0,0,63332,14.2,53.0,8,10800.0,30089,10800,88847,0.0,37,1,0,0,84.0,1.0,False,False,34.0,50594,46210,1.0,0,0.0,15.0,84,2,12,580,2,5,623.4,378439,42547,63557,0.0,128,0,5.0,0.0,0,31.0,0,205115,30102,57990,0.0,0,0,130.2,170,2011.0,110.0,654405,81087,511,127267,4.0,19015,769,629,1005,1142,8,0,70847,8433,5715,3,3.0,55.0,0,0.0,118,3,3,69,False
260,0.0,0.0,58,0.0,0,21,56217,13.4,0.0,22,20831.0,59105,20831,56325,0.0,18,7,3,2,0.0,0.0,True,True,0.0,54320,42825,0.0,1,5.0,0.0,86,10,47,743,29,8,459.2,153789,45353,16605,0.0,128,1,0.0,3.0,0,0.0,0,317203,45949,64073,0.0,0,0,145.4,173,1560.0,0.0,508274,94956,1220,86363,0.0,27947,376,414,1508,401,7,0,37278,3650,5681,8,23.0,5.0,0,0.0,110,7,6,49,True
261,0.0,0.0,26,0.0,0,0,43178,11.4,0.0,23,4878.0,13618,4878,81468,0.0,47,4,1,0,0.0,0.0,False,False,0.0,39287,36700,0.0,0,0.0,5.0,97,3,18,939,4,6,379.4,77373,15577,46450,0.0,76,0,5.0,0.0,0,0.0,0,203304,35458,60168,0.0,0,0,124.6,97,1560.0,0.0,317905,56719,488,110272,0.0,13083,2511,362,798,1083,15,0,37225,5682,3650,1,1.0,45.0,0,0.0,63,5,7,31,False
262,1.0,7.0,44,0.0,0,7,52260,12.8,25.0,28,18583.0,68123,18583,57364,0.0,12,0,1,3,18.0,2.0,True,False,7.0,47376,41060,0.0,1,4.0,0.0,93,7,32,416,22,6,622.6,107842,17978,23024,0.0,121,1,0.0,5.0,0,36.0,0,346932,56879,37606,0.0,0,0,267.4,112,1416.0,0.0,498608,77105,692,63127,0.0,18722,245,467,748,306,7,0,43830,2246,2492,8,23.0,0.0,0,0.0,100,14,4,0,True
