,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,firstBloodKill,firstTowerKill,win
20,2.0,-12.0,16.0,-6.0,1.0,-11.0,-2793.0,0.40000000000000213,-135.0,-8.0,6088.0,60275.0,6088.0,57850.0,0.0,-20.0,1.0,5.0,0.0,-14.0,-5.0,-1.0,2742.0,1120.0,-3.0,2.0,4.0,-10.0,-31.0,6.0,20.0,1422.0,5.0,2.0,178.20000000000005,315627.0,37402.0,-34249.0,0.0,146.0,-1.0,5.0,-3.0,0.0,-26.0,0.0,-193839.0,-30895.0,39620.0,-3.0,0.0,0.0,-69.6,-9.0,0.0,63.0,-54513.0,4921.0,-4810.0,6959.0,43.0,15614.0,-2856.0,-219.0,277.0,-543.0,-5.0,1.0,-176300.0,-1588.0,1586.0,3.0,5.0,-15.0,0.0,0.0,83.0,3.0,11.0,3.0,True,False,False
21,0.0,0.0,-10.0,0.0,-1.0,-1.0,-14935.0,-0.6000000000000014,0.0,3.0,15189.0,-18506.0,15189.0,-37404.0,0.0,11.0,2.0,-6.0,-3.0,0.0,0.0,0.0,-3842.0,8035.0,0.0,4.0,8.0,-20.0,1.0,-7.0,-10.0,677.0,-3.0,-2.0,151.0,-265463.0,-39423.0,36893.0,0.0,-67.0,1.0,-5.0,1.0,0.0,0.0,0.0,274990.0,73894.0,-85701.0,0.0,0.0,0.0,23.19999999999999,13.0,0.0,0.0,-75087.0,26458.0,0.0,-39490.0,0.0,-26308.0,1164.0,-9.0,363.0,801.0,3.0,0.0,-84618.0,-8012.0,9319.0,6.0,9.0,-30.0,0.0,0.0,68.0,2.0,6.0,23.0,False,True,True
22,-7.0,-45.0,-24.0,6.0,-2.0,-3.0,-15367.0,-1.5999999999999996,-21.0,-15.0,-6655.0,-87241.0,-6655.0,-76373.0,0.0,25.0,-8.0,-3.0,-3.0,68.0,-3.0,7.0,-5191.0,-2740.0,-2.0,0.0,0.0,5.0,-27.0,-8.0,-25.0,-51.0,-9.0,-4.0,-441.79999999999995,63310.0,-1566.0,-1095.0,0.0,-41.0,-1.0,5.0,-3.0,1.0,-66.0,0.0,-107282.0,-5307.0,5802.0,0.0,0.0,0.0,54.19999999999999,61.0,0.0,0.0,-55159.0,2.0,-1145.0,-3812.0,0.0,-20078.0,-112.0,33.0,513.0,736.0,1.0,-1.0,-11188.0,6873.0,-8515.0,-5.0,-10.0,25.0,0.0,-1.0,-64.0,-7.0,-13.0,-8.0,True,True,False
23,-1.0,-2.0,-16.0,-1.0,-1.0,-8.0,-13241.0,-1.1999999999999993,-69.0,26.0,-8175.0,-32977.0,-8175.0,12627.0,0.0,18.0,12.0,-4.0,0.0,-6.0,0.0,-6.0,-12121.0,-5697.0,-2.0,-4.0,-7.0,20.0,36.0,-1.0,-17.0,1221.0,-15.0,-2.0,-36.39999999999998,-157807.0,-31197.0,28272.0,0.0,-90.0,-1.0,5.0,-3.0,0.0,-3.0,0.0,27297.0,-642.0,-4437.0,0.0,0.0,0.0,50.80000000000001,0.0,0.0,-42.0,-135881.0,-32316.0,-628.0,24310.0,-29.0,-10230.0,-174.0,-5.0,-626.0,521.0,0.0,0.0,-5371.0,-476.0,474.0,-6.0,-6.0,40.0,0.0,0.0,5.0,11.0,-6.0,6.0,False,False,True
24,7.0,1.0,-2.0,-2.0,-1.0,-7.0,-11916.0,-1.200000000000001,-1.0,12.0,-7504.0,-25774.0,-7504.0,-8986.0,0.0,-8.0,7.0,2.0,-1.0,18.0,1.0,16.0,-3098.0,4933.0,3.0,-2.0,-8.0,10.0,18.0,1.0,8.0,-239.0,6.0,1.0,479.20000000000005,-2801.0,1063.0,-2925.0,0.0,-8.0,-1.0,5.0,-3.0,1.0,-23.0,0.0,-84662.0,5237.0,929.0,1.0,0.0,0.0,-156.39999999999998,-51.0,0.0,3.0,-128437.0,6413.0,1953.0,-2083.0,-3.0,8865.0,7216.0,-23.0,-533.0,9.0,6.0,1.0,-40974.0,115.0,-85.0,-4.0,-6.0,15.0,0.0,0.0,25.0,7.0,2.0,-7.0,True,True,True
25,-1.0,9.0,-29.0,-1.0,0.0,-14.0,-6205.0,-0.8000000000000007,-3.0,4.0,-21595.0,-45407.0,-21595.0,19902.0,0.0,13.0,-1.0,-2.0,-1.0,36.0,-2.0,0.0,-9299.0,-2280.0,-1.0,-1.0,-4.0,5.0,6.0,-2.0,-13.0,-302.0,-6.0,-2.0,239.2,-2821.0,344.0,-362.0,0.0,-58.0,0.0,0.0,0.0,1.0,14.0,0.0,-17652.0,-15658.0,12597.0,0.0,-1.0,0.0,-68.0,12.0,0.0,-32.0,-233527.0,-17920.0,-2379.0,14843.0,-28.0,-2334.0,244.0,38.0,41.0,183.0,2.0,-2.0,-213049.0,-2608.0,2608.0,-7.0,-23.0,35.0,0.0,2.0,-19.0,0.0,-1.0,-6.0,False,False,False
26,0.0,0.0,9.0,0.0,0.0,5.0,6588.0,1.0,0.0,1.0,19607.0,50598.0,19607.0,-2097.0,0.0,-12.0,-1.0,5.0,2.0,0.0,0.0,0.0,14625.0,11065.0,0.0,2.0,3.0,-10.0,1.0,3.0,12.0,1017.0,4.0,2.0,118.00000000000006,-95145.0,-17855.0,17245.0,0.0,63.0,1.0,-5.0,3.0,0.0,0.0,0.0,254833.0,35893.0,-18268.0,0.0,1.0,0.0,132.8,15.0,0.0,0.0,180108.0,18886.0,-1723.0,-2319.0,0.0,-12188.0,-6311.0,106.0,-376.0,-155.0,-5.0,2.0,20419.0,846.0,-1298.0,9.0,18.0,-45.0,0.0,0.0,57.0,1.0,5.0,11.0,False,False,True
27,-5.0,26.0,-1.0,3.0,-2.0,-14.0,-11804.0,-1.3999999999999986,14.0,12.0,-9393.0,-83394.0,-9393.0,-29669.0,0.0,3.0,6.0,-2.0,-3.0,15.0,-3.0,0.0,-9866.0,-2515.0,2.0,-2.0,-3.0,10.0,14.0,7.0,-3.0,-1932.0,-8.0,-2.0,133.60000000000002,58872.0,22399.0,-23714.0,-1.0,-13.0,-1.0,5.0,-3.0,0.0,-19.0,0.0,-150685.0,-44753.0,43916.0,3.0,0.0,0.0,28.80000000000001,-24.0,0.0,0.0,-102959.0,-29823.0,8224.0,27672.0,0.0,-3816.0,-145.0,-24.0,-1452.0,210.0,1.0,-1.0,-11143.0,-7469.0,7468.0,-7.0,-11.0,35.0,0.0,0.0,-30.0,6.0,-7.0,-4.0,True,False,False
28,0.0,0.0,-13.0,0.0,0.0,-5.0,-3567.0,-0.40000000000000036,0.0,3.0,-8004.0,-24618.0,-8004.0,10289.0,0.0,2.0,-1.0,-4.0,-1.0,0.0,0.0,0.0,-6105.0,-540.0,0.0,-1.0,-4.0,5.0,11.0,-3.0,-4.0,679.0,-1.0,-3.0,57.599999999999966,-151612.0,-15848.0,13643.0,0.0,-9.0,-1.0,5.0,-2.0,0.0,0.0,0.0,109217.0,5284.0,-11006.0,0.0,0.0,0.0,60.19999999999999,15.0,0.0,0.0,-43536.0,-6326.0,856.0,-1600.0,0.0,-22436.0,-4562.0,-49.0,-245.0,67.0,-2.0,0.0,-1142.0,4236.0,-4234.0,-5.0,-14.0,25.0,0.0,0.0,14.0,0.0,-4.0,6.0,True,False,True
29,-1.0,-13.0,-52.0,-1.0,0.0,-19.0,-17660.0,-2.0,-66.0,5.0,-7862.0,-59792.0,-7862.0,-44174.0,0.0,26.0,-1.0,-7.0,-5.0,2.0,-4.0,11.0,-12349.0,-6288.0,1.0,-1.0,-3.0,5.0,9.0,-7.0,-26.0,544.0,-21.0,-6.0,-12.600000000000023,-66067.0,-863.0,-1151.0,0.0,-122.0,-1.0,5.0,-4.0,0.0,-18.0,0.0,-54767.0,2080.0,-28970.0,-2.0,0.0,0.0,138.39999999999998,-118.0,0.0,0.0,-156940.0,-4642.0,-1643.0,-25257.0,0.0,-38882.0,-10512.0,23.0,-762.0,830.0,-3.0,-5.0,-36105.0,-5858.0,4859.0,-4.0,-10.0,20.0,0.0,0.0,-19.0,-1.0,-9.0,6.0,False,False,False
